,Условное обозначение Ziehl-Abegg,Каталожный номер,specific products,Типоразмер,Расход воздуха,Статическое давление,"Давление, динамическое",Суммарное давление,Класс SFP,Значение SFP,"Электрическая мощность, потребляемая системой",Суммарный КПД системы,"КПД системы, статич.",Потребляемая электрическая мощность,Суммарный КПД,"КПД системы, статич.1",Мощность на валу,"Мощность на валу, макс.",Суммарный КПД рабочего колеса,"КПД рабочего колеса, статич.",Частота вращения вентилятора,"Уровень звуковой мощности на стороне всасывания, ненормированный","Уровень звуковой мощности на стороне всасывания, характеристика А","Уровень звуковой мощности на стороне нагнетания, ненормированный","Уровень звуковой мощности на стороне нагнетания, характеристика А",частоты октавной полосы,"Уровень звуковой мощности на стороне всасывания, ненормированный1","Уровень звуковой мощности на стороне всасывания, характеристика А1","Уровень звуковой мощности на стороне нагнетания, ненормированный1","Уровень звуковой мощности на стороне нагнетания, характеристика А1",Частота в рабочей точке,Напряжение в рабочей точке,Ток в рабочей точке,Коэфф. k для давления в сопле,Дифф. давление в сопле,Расход воздуха при питании от сети,Статическое давление при питании от сети,Суммарное давление при питании от сети,Плотность перемещаемой среды,Тип электропривода,Напряжение сети,Схема соединений,Номинальная частота,Потребляемая электрическая мощность1,Выходная мощность,Номинальный ток,Номинальная частота вращения,Макс. допустимая температура перемещаемой среды,КПД,производительность,производительность1,Степень защиты,Класс нагревостойкости изоляции,"Частота, макс.",Сеть электропитания,Ширина,Высота,Глубина,Масса изделия,защитная решетка и ее влияние включены,Группа продукции,корпус/рабочее колесо,Кол-во вентиляторов,Тип двигателя,Установленная мощность
96,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,11000,1200,24,1224,4,1808,5523,67.7,66.4,,,,,,,,2607,88,83,96,94,"63,125,250,500,1000,2000,4000,8000","74.77,76.06,85.51,80.36,75.40,76.70,71.43,68.48","47.85,62.11,75.45,76.50,75.30,77.87,72.43,67.45","78.63,81.77,91.47,86.45,86.25,89.39,85.11,79.38","52.79,67.73,81.38,83.36,86.30,90.56,86.08,78.53",50,400,8.47,180,934,12062,1443,1472,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
97,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,13000,1200,34,1234,4,1767,6379,69.9,67.9,,,,,,,,2726,88,84,97,95,"63,125,250,500,1000,2000,4000,8000","76.70,73.51,84.60,81.80,76.19,77.43,72.37,73.23","50.38,58.02,75.45,78.20,76.06,78.61,73.36,71.86","79.90,79.10,92.15,87.56,87.02,90.34,86.30,81.61","54.17,64.10,82.89,84.61,87.08,91.52,87.26,80.58",50,400,9.76,180,1304,13608,1315,1352,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
98,GR50IZID.GL.CR,117344/A01,Portfolio STDWW G1,500,19000,1000,30,1030,4,1411,7448,73.0,70.9,,,,,,,,1996,88,81,95,89,"63,125,250,500,1000,2000,4000,8000","76.29,83.60,82.64,79.40,74.54,71.79,67.97,69.21","49.70,69.83,75.17,75.63,74.38,72.92,68.94,68.06","80.47,91.83,86.91,87.09,83.76,81.53,78.11,74.35","54.46,78.26,78.03,83.79,83.58,82.67,79.07,73.42",50,400,11.39,280,1151,20484,1162,1197,1.16,3,400,,50,4.6,,,2150,40,"75,1","78,6",62,55,155,,3~ 400V 50Hz ,670,670,534,54,Нет,ZAbluefin,0.0,2,EC,9.2
99,GR40IZID.DC.CR,116895/A01,Portfolio STDWW G1,400,13000,600,34,634,3,944,3410,67.2,63.5,,,,,,,,2250,86,80,93,87,"63,125,250,500,1000,2000,4000,8000","80.18,79.37,81.15,78.56,72.07,69.66,69.56,71.60","54.93,63.98,72.04,74.57,71.80,70.81,70.49,70.60","78.81,82.97,90.61,83.90,82.08,77.57,74.32,75.54","53.50,68.81,80.37,80.82,81.84,78.70,75.27,74.50",50,400,5.32,180,1304,13631,660,697,1.16,3,400,,50,2.1,,,2360,40,"74,7","81,9",62,55,155,,3~ 400V 50Hz ,550,550,395,25,Нет,ZAbluefin,0.0,2,EC,4.2
100,GR40IZID.GG.CR,117337/A01,Portfolio STDWW G1,400,12000,1200,29,1229,4,1777,5922,69.2,67.5,,,,,,,,2662,88,83,96,94,"63,125,250,500,1000,2000,4000,8000","75.64,73.90,85.04,81.13,75.65,77.01,71.74,70.63","48.95,59.33,75.24,77.34,75.53,78.18,72.74,69.44","79.06,79.92,91.67,86.98,86.53,89.83,85.65,80.38","53.27,65.48,81.80,83.96,86.59,91.00,86.61,79.44",50,400,9.07,180,1111,12863,1379,1412,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
101,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,10000,1600,12,1612,5,2804,7788,57.5,57.1,,,,,,,,2524,99,90,104,97,"63,125,250,500,1000,2000,4000,8000","85.92,95.06,94.43,87.48,80.73,80.51,76.34,71.88","60.64,81.05,85.35,83.50,80.65,81.66,77.33,70.91","87.68,97.77,100.83,92.75,89.94,89.65,85.25,78.86","62.53,83.93,90.67,89.41,89.79,90.80,86.24,77.98",50,400,11.89,220,517,10397,1729,1743,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,2,EC,10.0
102,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,15000,1200,28,1228,4,1740,7249,70.6,69.0,,,,,,,,2369,89,83,95,92,"63,125,250,500,1000,2000,4000,8000","76.91,80.97,85.77,81.71,75.70,74.63,70.58,69.47","49.85,67.18,75.99,77.80,75.56,75.78,71.56,68.42","80.12,86.35,91.07,87.11,85.29,86.53,82.81,77.48","54.30,72.57,80.92,83.96,85.23,87.67,83.80,76.60",60,460,9.64,220,1162,16608,1471,1506,1.16,3,460,,60,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 460V 60Hz ,600,600,484,37,Нет,ZAbluefin,0.0,2,EC,10.0
103,ER40C2DN.G7.CR*,130594/2Z41,Portfolio STDWW G1,400,17000,1500,143,1643,5,2339,11047,70.2,64.1,10716.0,72.4,66.1,9625.0,9857.0,80.6,73.6,3237,94,91,99,97,"63,125,250,500,1000,2000,4000,8000","79.58,76.58,84.24,90.96,82.81,81.82,79.30,77.87","53.58,60.70,77.33,86.35,82.59,82.98,80.28,76.67","84.45,82.64,88.00,94.46,93.86,88.33,84.41,81.57","58.82,66.89,80.85,90.34,93.74,89.46,85.38,80.49",55,400,,154,3046,15312,1217,1333,1.16,3,400,D,50,,5.5,10.2,2925,40,"68,6","70,9",62,55,155,57.0,3~ 400V 50Hz D,520,500,720,86,Нет,Cpro,0.0,2,AC,11.0
104,GR40IZID.DC.CR,116895/A01,Portfolio STDWW G1,400,13000,300,34,334,2,568,2051,58.8,52.8,,,,,,,,1993,87,80,91,86,"63,125,250,500,1000,2000,4000,8000","79.79,81.57,80.00,77.97,70.79,68.80,70.21,72.33","54.58,66.56,72.36,74.23,70.51,69.96,71.12,71.62","78.23,86.98,84.17,83.04,81.16,75.70,73.72,76.23","52.90,73.18,75.30,80.00,80.87,76.83,74.64,75.46",50,400,3.34,180,1304,15421,422,470,1.16,3,400,,50,2.1,,,2360,40,"74,7","81,9",62,55,155,,3~ 400V 50Hz ,550,550,395,25,Нет,ZAbluefin,0.0,2,EC,4.2
105,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,9000,1500,16,1516,5,2482,6205,61.1,60.4,,,,,,,,2763,94,87,101,97,"63,125,250,500,1000,2000,4000,8000","79.41,84.85,91.95,84.64,78.56,80.09,75.82,70.54","53.35,70.94,82.09,80.72,78.42,81.25,76.83,69.58","83.60,89.31,99.67,89.92,88.83,91.21,87.03,80.88","58.02,75.40,89.27,86.64,88.81,92.39,88.00,80.03",50,400,9.49,180,625,9318,1608,1626,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,2,EC,7.4
106,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,14000,1500,24,1524,5,2272,8835,67.1,66.0,,,,,,,,2547,94,87,100,95,"63,125,250,500,1000,2000,4000,8000","79.75,85.46,92.19,84.85,78.15,77.96,73.62,70.55","52.43,71.80,81.93,80.92,78.06,79.10,74.61,69.46","83.10,90.41,98.06,90.20,87.77,88.81,84.93,78.93","57.28,76.70,87.50,86.95,87.68,89.97,85.91,78.03",50,400,13.46,220,1012,14424,1592,1618,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,2,EC,10.0
107,GR40IZID.DG.CR,116896/A01,Portfolio STDWW G1,400,13000,900,34,934,4,1316,4751,71.0,68.4,,,,,,,,2485,87,82,94,89,"63,125,250,500,1000,2000,4000,8000","76.02,74.37,82.12,82.09,74.51,71.48,69.73,71.49","50.33,59.09,72.05,77.78,74.15,72.63,70.69,70.06","78.36,78.50,91.72,86.40,83.94,79.85,75.31,75.40","52.75,63.66,81.26,83.27,83.70,80.98,76.29,74.01",50,400,7.33,180,1304,13094,913,948,1.16,3,400,,50,2.5,,,2500,60,"75,0","81,5",62,55,155,,3~ 400V 50Hz ,550,550,433,29,Нет,ZAbluefin,0.0,2,EC,5.0
108,GR40CZID.GG.CR,115527/A01,Portfolio STDWW G1,400,9800,1800,47,1847,6,3154,8587,58.6,57.1,,,,,,,,3008,94,90,99,98,"63,125,250,500,1000,2000,4000,8000","87.49,80.77,89.23,87.99,82.47,81.73,79.21,77.55","60.27,64.82,82.10,84.19,82.33,82.92,80.18,76.56","84.09,83.27,91.99,90.89,90.55,94.09,90.27,84.06","57.84,68.09,84.64,87.32,90.52,95.31,91.27,83.29",50,400,13.08,154,1012,10354,2009,2062,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,381,39,Нет,Cpro,0.0,2,EC,11.2
109,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,15000,1500,28,1528,5,2227,9279,68.6,67.4,,,,,,,,2581,94,87,100,95,"63,125,250,500,1000,2000,4000,8000","80.05,83.03,92.19,85.38,77.87,77.48,72.77,70.69","52.41,69.29,81.83,81.40,77.77,78.62,73.76,69.54","83.14,88.59,97.70,90.33,87.68,88.92,85.12,79.35","57.11,74.81,87.13,87.07,87.59,90.08,86.09,78.42",50,400,14.13,220,1162,15249,1550,1579,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,2,EC,10.0
